date,close,high,low,open,volume,ret
2016-10-31,1271.5,1276.599976,1271.5,1276.599976,58,-0.00313602508820066
2016-11-01,1286.400024,1290.699951,1279.0,1279.300049,49,0.0117184616594574
2016-11-02,1306.800049,1307.0,1288.300049,1288.300049,30,0.015858228093441
2016-11-03,1302.099976,1303.099976,1287.300049,1296.400024,73,-0.00359662750517697
2016-11-04,1303.300049,1303.300049,1296.699951,1300.0,11,0.000921644283940815
2016-11-07,1278.300049,1294.5,1278.300049,1292.0,34,-0.0191820755467492
2016-11-08,1273.400024,1289.400024,1273.199951,1284.099976,50,-0.00383323540027491
2016-11-09,1272.599976,1318.599976,1270.0,1272.199951,108,-0.000628277041716196
2016-11-10,1265.5,1287.5,1253.300049,1274.400024,63,-0.00557911058769345
2016-11-14,1221.199951,1229.5,1210.400024,1227.800049,216,-0.0350059652311339
2016-11-15,1224.0,1226.0,1222.5,1224.300049,20,0.00229286694427655
2016-11-16,1223.400024,1229.300049,1223.0,1229.300049,66,-0.000490176470588244
2016-11-17,1216.5,1225.0,1211.0,1224.599976,1139,-0.00564003912427591
2016-11-18,1208.5,1211.900024,1207.199951,1211.900024,607,-0.00657624332100293
2016-11-21,1209.599976,1209.599976,1209.599976,1209.599976,19,0.00091019942076942
2016-11-22,1211.0,1211.099976,1207.599976,1210.400024,19,0.00115742727164214
2016-11-23,1189.099976,1213.800049,1186.800049,1212.800049,309,-0.0180842477291495
2016-11-25,1178.199951,1189.300049,1177.0,1177.0,14,-0.00916661779496997
2016-11-28,1190.599976,1190.599976,1188.0,1188.0,189914,0.0105245505989671
2016-11-29,1187.900024,1194.800049,1179.400024,1193.199951,42124,-0.00226772388243346
2016-11-30,1170.800049,1193.300049,1167.900024,1187.099976,7158,-0.0143951297706179
2016-12-01,1166.900024,1174.599976,1160.0,1172.699951,1588,-0.00333107690192791
2016-12-02,1175.099976,1177.300049,1166.400024,1172.300049,1521,0.00702712471621303
2016-12-05,1174.0,1186.699951,1157.0,1181.800049,358,-0.000936070140809875
2016-12-06,1167.599976,1174.5,1167.099976,1170.900024,652,-0.00545146848381606
2016-12-07,1175.0,1178.5,1166.400024,1167.699951,182,0.00633780759858471
2016-12-08,1169.800049,1177.800049,1169.099976,1173.800049,322,-0.00442549021276606
2016-12-09,1159.400024,1168.800049,1156.0,1166.599976,365,-0.00889042961563413
2016-12-12,1163.5,1163.900024,1153.0,1158.300049,331,0.00353629111189324
2016-12-13,1156.699951,1164.0,1155.400024,1163.5,637,-0.00584447700902446
2016-12-14,1161.300049,1164.0,1142.0,1159.800049,487,0.00397691553113932
