date,close,forecast_date,y,lag_1,lag_2,lag_3,lag_5,lag_10,lag_21,rolling_mean_7,rolling_mean_21,rolling_mean_63
2024-04-17,2371.699951,2024-04-17,2371.699951,2390.800049,2365.800049,2356.199951,2329.600098,2294.399902,2160.699951,2358.914307,2269.695243,2130.69047
2024-04-18,2382.300049,2024-04-18,2382.300049,2371.699951,2390.800049,2365.800049,2354.800049,2288.800049,2156.300049,2364.457171,2280.457148,2136.463487
2024-04-19,2398.399902,2024-04-19,2398.399902,2382.300049,2371.699951,2390.800049,2356.199951,2325.699951,2157.899902,2374.285714,2291.909528,2142.36666
2024-04-22,2332.199951,2024-04-22,2332.199951,2398.399902,2382.300049,2371.699951,2365.800049,2331.699951,2182.399902,2371.057129,2299.042864,2147.325389
2024-04-23,2327.699951,2024-04-23,2327.699951,2332.199951,2398.399902,2382.300049,2390.800049,2343.5,2158.100098,2366.9857,2307.119048,2152.150786
2024-04-24,2324.5,2024-04-24,2324.5,2327.699951,2332.199951,2398.399902,2371.699951,2329.600098,2174.800049,2361.085693,2314.247617,2157.080944
2024-04-25,2329.800049,2024-04-25,2329.800049,2324.5,2327.699951,2332.199951,2382.300049,2354.800049,2175.600098,2352.371408,2321.590472,2162.047611
2024-04-26,2334.800049,2024-04-26,2334.800049,2329.800049,2324.5,2327.699951,2398.399902,2356.199951,2190.600098,2347.099993,2328.457136,2167.09523
2024-04-29,2345.399902,2024-04-29,2345.399902,2334.800049,2329.800049,2324.5,2332.199951,2365.800049,2217.399902,2341.828544,2334.552374,2172.177769
2024-04-30,2291.399902,2024-04-30,2291.399902,2345.399902,2334.800049,2329.800049,2327.699951,2390.800049,2236.5,2326.542829,2337.166655,2176.303165
2024-05-01,2299.899902,2024-05-01,2299.899902,2291.399902,2345.399902,2334.800049,2324.5,2371.699951,2261.0,2321.928537,2339.019031,2180.295228
2024-05-02,2299.199951,2024-05-02,2299.199951,2299.899902,2291.399902,2345.399902,2329.800049,2382.300049,2294.399902,2317.857108,2339.247605,2184.203164
2024-05-03,2299.0,2024-05-03,2299.0,2299.199951,2299.899902,2291.399902,2334.800049,2398.399902,2288.800049,2314.214251,2339.733317,2188.37618
2024-05-06,2321.600098,2024-05-06,2321.600098,2299.0,2299.199951,2299.899902,2345.399902,2332.199951,2325.699951,2313.042829,2339.538086,2193.073008
2024-05-07,2315.199951,2024-05-07,2315.199951,2321.600098,2299.0,2299.199951,2291.399902,2327.699951,2331.699951,2310.242815,2338.752372,2197.528563
2024-05-08,2313.600098,2024-05-08,2313.600098,2315.199951,2321.600098,2299.0,2299.899902,2324.5,2343.5,2305.699986,2337.328567,2201.947612
2024-05-09,2332.100098,2024-05-09,2332.100098,2313.600098,2315.199951,2321.600098,2299.199951,2329.800049,2329.600098,2311.5143,2337.447614,2206.707932
2024-05-10,2367.300049,2024-05-10,2367.300049,2332.100098,2313.600098,2315.199951,2299.0,2334.800049,2354.800049,2321.142892,2338.042852,2212.16825
2024-05-13,2336.100098,2024-05-13,2336.100098,2367.300049,2332.100098,2313.600098,2321.600098,2345.399902,2356.199951,2326.414342,2337.085717,2217.214284
2024-05-14,2353.399902,2024-05-14,2353.399902,2336.100098,2367.300049,2332.100098,2315.199951,2291.399902,2365.800049,2334.185756,2336.495233,2222.936504
2024-05-15,2388.699951,2024-05-15,2388.699951,2353.399902,2336.100098,2367.300049,2313.600098,2299.899902,2390.800049,2343.771449,2336.395229,2229.260312
2024-05-16,2380.0,2024-05-16,2380.0,2388.699951,2353.399902,2336.100098,2332.100098,2299.199951,2371.699951,2353.028599,2336.790469,2235.258725
2024-05-17,2412.199951,2024-05-17,2412.199951,2380.0,2388.699951,2353.399902,2367.300049,2299.0,2382.300049,2367.114293,2338.214274,2241.619042
2024-05-20,2433.899902,2024-05-20,2433.899902,2412.199951,2380.0,2388.699951,2336.100098,2321.600098,2398.399902,2381.657122,2339.90475,2248.069834
2024-05-21,2421.699951,2024-05-21,2421.699951,2433.899902,2412.199951,2380.0,2353.399902,2315.199951,2332.199951,2389.428537,2344.166655,2254.409515
